x,y,BG,FC,FD,FH,GC,GD,GHc,SC,SD,SH,TC,GR,NC,GCp,GCa,GDp,GDa,FHs,FHf,TCa,FCs,GCv,GCb,HSC,StrD,TotalC
1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.240002e-01,6.874706e-01,0.000000e+00,9.178441e-01,1.564138e-01,1.000000e+00,1.000000e+00,1.407824e-01,0.000000e+00,1.000000e+00,1.000000e+00,3.952045e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.388458e-01,0.000000e+00,0.000000e+00,1.000000e+00,1.561862e-01,1.893233e-01
1.000000e+00,1.000000e+01,0.000000e+00,7.422893e-01,1.000000e+00,6.895408e-01,6.165796e-01,0.000000e+00,5.467587e-01,2.907199e-01,4.532431e-01,6.694897e-01,4.448507e-01,0.000000e+00,0.000000e+00,3.189826e-01,9.822072e-01,7.105577e-01,8.805420e-01,2.116255e-01,1.000000e+00,2.522985e-01,1.000000e+00,3.660154e-01,9.052808e-01,0.000000e+00,7.685807e-01,4.277238e-01
1.000000e+00,1.000000e+02,0.000000e+00,7.679297e-01,2.584681e-01,1.930007e-02,0.000000e+00,0.000000e+00,8.539383e-01,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,4.575054e-01,6.264830e-01,5.494552e-01,3.247494e-01,1.000000e+00,2.067138e-02,6.571056e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,4.202889e-01,4.161532e-01,5.773503e-01
1.000000e+00,1.100000e+01,0.000000e+00,6.594560e-01,1.000000e+00,7.033653e-01,6.302215e-01,0.000000e+00,4.882583e-01,2.621860e-01,7.072536e-01,1.704071e-01,3.723975e-01,0.000000e+00,0.000000e+00,2.822406e-01,1.000000e+00,8.099497e-01,1.000000e+00,2.019183e-01,1.000000e+00,2.838400e-01,1.000000e+00,4.018604e-01,9.063331e-01,0.000000e+00,7.637140e-01,4.115925e-01
1.000000e+00,1.200000e+01,0.000000e+00,5.696583e-01,1.000000e+00,7.170115e-01,6.408770e-01,0.000000e+00,4.409565e-01,2.424921e-01,1.000000e+00,0.000000e+00,3.021201e-01,0.000000e+00,0.000000e+00,2.857207e-01,1.000000e+00,8.986185e-01,1.000000e+00,1.566347e-01,1.000000e+00,3.096520e-01,1.000000e+00,4.195466e-01,8.836328e-01,0.000000e+00,7.478444e-01,3.964082e-01
1.000000e+00,1.300000e+01,0.000000e+00,4.811255e-01,1.000000e+00,7.307070e-01,6.459263e-01,0.000000e+00,4.181037e-01,2.373640e-01,1.000000e+00,0.000000e+00,2.380677e-01,2.982246e-01,0.000000e+00,3.213012e-01,1.000000e+00,9.754047e-01,1.000000e+00,7.389051e-02,1.000000e+00,3.337568e-01,1.000000e+00,4.366140e-01,8.377651e-01,0.000000e+00,7.216881e-01,3.897911e-01
1.000000e+00,1.400000e+01,0.000000e+00,4.013035e-01,1.000000e+00,7.447482e-01,6.446565e-01,0.000000e+00,4.273888e-01,2.525540e-01,1.000000e+00,0.000000e+00,1.833003e-01,5.544302e-01,0.000000e+00,3.801569e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,3.597209e-01,1.000000e+00,4.727996e-01,7.693591e-01,0.000000e+00,6.863431e-01,3.985485e-01
1.000000e+00,1.500000e+01,6.847118e-02,3.366961e-01,1.000000e+00,7.595234e-01,6.378140e-01,0.000000e+00,4.518199e-01,2.936732e-01,1.000000e+00,2.058863e-02,1.399648e-01,6.796355e-01,0.000000e+00,4.541041e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,3.879821e-01,1.000000e+00,5.478882e-01,6.792397e-01,0.000000e+00,6.434840e-01,4.272717e-01
1.000000e+00,1.600000e+01,5.082742e-01,2.927051e-01,1.000000e+00,7.755370e-01,6.260775e-01,0.000000e+00,3.796179e-01,3.660234e-01,1.000000e+00,2.050582e-01,1.093719e-01,7.179399e-01,2.833919e-01,5.320204e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,4.179845e-01,1.000000e+00,6.795626e-01,5.685807e-01,0.000000e+00,5.955572e-01,4.781941e-01
1.000000e+00,1.700000e+01,8.914215e-01,2.734709e-01,1.000000e+00,7.934321e-01,6.103249e-01,0.000000e+00,3.131958e-01,4.744300e-01,1.000000e+00,3.885005e-01,9.207218e-02,7.116344e-01,4.882773e-01,6.042377e-01,1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,4.493368e-01,9.772487e-01,9.284032e-01,4.390564e-01,0.000000e+00,5.457094e-01,5.592615e-01
1.000000e+00,1.800000e+01,1.000000e+00,2.817128e-01,1.000000e+00,8.140144e-01,5.915951e-01,0.000000e+00,6.911952e-02,6.220352e-01,1.000000e+00,5.468612e-01,8.793271e-02,6.976429e-01,5.741702e-01,6.644849e-01,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,4.819368e-01,8.193977e-01,1.000000e+00,3.399926e-01,0.000000e+00,4.948684e-01,6.328548e-01
1.000000e+00,1.900000e+01,1.000000e+00,3.185697e-01,1.000000e+00,8.377586e-01,5.710511e-01,0.000000e+00,7.295173e-03,7.901068e-01,1.000000e+00,6.850180e-01,9.621361e-02,7.039646e-01,5.676898e-01,7.094096e-01,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,5.142264e-01,7.120373e-01,1.000000e+00,2.944000e-01,8.982456e-02,4.441241e-01,7.009293e-01
1.000000e+00,2.000000e+00,0.000000e+00,1.222418e-01,0.000000e+00,5.493904e-01,6.662653e-01,0.000000e+00,6.973900e-01,2.455025e-01,1.000000e+00,1.000000e+00,3.221702e-01,0.000000e+00,1.000000e+00,1.000000e+00,4.054068e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,3.012913e-01,2.335022e-01
1.000000e+00,2.000000e+01,1.000000e+00,3.834506e-01,3.256105e-01,8.668600e-01,5.499420e-01,0.000000e+00,3.754809e-02,9.625089e-01,1.000000e+00,8.067287e-01,1.156444e-01,7.461162e-01,5.351978e-01,7.380886e-01,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,5.447302e-01,6.575362e-01,1.000000e+00,2.844921e-01,1.216544e-01,3.955302e-01,7.671721e-01
1.000000e+00,2.100000e+01,1.000000e+00,4.723145e-01,1.000000e+00,9.006254e-01,5.295659e-01,7.148649e-03,1.401418e-01,1.000000e+00,8.429476e-01,9.087306e-01,1.445004e-01,8.235736e-01,4.916142e-01,7.515383e-01,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,5.720344e-01,6.526282e-01,1.000000e+00,3.118409e-01,6.847239e-02,3.516604e-01,7.834553e-01
1.000000e+00,2.200000e+01,1.000000e+00,5.775249e-01,1.000000e+00,9.394002e-01,5.112319e-01,6.092284e-02,2.586018e-01,1.000000e+00,2.905674e-01,9.849670e-01,1.806795e-01,9.162138e-01,4.260620e-01,7.522255e-01,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,5.947680e-01,6.830743e-01,1.000000e+00,3.763342e-01,0.000000e+00,3.152729e-01,7.932142e-01
1.000000e+00,2.300000e+01,1.000000e+00,6.927862e-01,1.000000e+00,9.836937e-01,4.962230e-01,1.163141e-01,3.613773e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.217783e-01,9.892793e-01,3.286239e-01,7.435781e-01,1.000000e+00,1.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,6.115820e-01,6.942771e-01,1.000000e+00,4.763931e-01,0.000000e+00,2.889749e-01,8.108876e-01
1.000000e+00,2.400000e+01,1.000000e+00,8.124061e-01,1.000000e+00,1.000000e+00,4.857580e-01,1.721714e-01,4.451095e-01,1.000000e+00,0.000000e+00,1.000000e+00,2.651685e-01,1.000000e+00,1.922992e-01,7.294956e-01,1.000000e+00,1.000000e+00,1.145633e-02,0.000000e+00,1.000000e+00,6.211299e-01,6.974467e-01,1.000000e+00,6.091898e-01,0.000000e+00,2.748877e-01,8.356530e-01
1.000000e+00,2.500000e+01,1.000000e+00,9.312891e-01,1.000000e+00,1.000000e+00,4.809549e-01,2.274791e-01,5.076952e-01,1.000000e+00,0.000000e+00,8.450062e-01,3.080738e-01,1.000000e+00,2.673848e-02,7.138596e-01,1.000000e+00,9.701690e-01,0.000000e+00,0.000000e+00,8.181211e-01,6.220479e-01,6.734447e-01,1.000000e+00,7.708651e-01,0.000000e+00,2.763203e-01,8.663756e-01
1.000000e+00,2.600000e+01,9.845227e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.827921e-01,2.813578e-01,5.481669e-01,1.000000e+00,0.000000e+00,6.574989e-01,3.476462e-01,1.000000e+00,0.000000e+00,7.000446e-01,1.000000e+00,9.160569e-01,0.000000e+00,0.000000e+00,5.695092e-01,6.129346e-01,6.070229e-01,1.000000e+00,9.567462e-01,0.000000e+00,2.979002e-01,9.017646e-01
1.000000e+00,2.700000e+01,8.434986e-01,1.000000e+00,1.000000e+00,1.000000e+00,4.920722e-01,3.330654e-01,5.665723e-01,1.000000e+00,0.000000e+00,4.353337e-01,3.810420e-01,1.000000e+00,0.000000e+00,6.904284e-01,1.000000e+00,8.591382e-01,0.000000e+00,0.000000e+00,3.849981e-01,5.943780e-01,4.872478e-01,1.000000e+00,1.000000e+00,0.000000e+00,3.405359e-01,9.114224e-01
1.000000e+00,2.800000e+01,7.396652e-01,1.000000e+00,1.000000e+00,1.000000e+00,5.093832e-01,3.819981e-01,5.638540e-01,1.000000e+00,0.000000e+00,2.050798e-01,4.054990e-01,1.000000e+00,0.000000e+00,6.859029e-01,1.000000e+00,8.005892e-01,0.000000e+00,0.000000e+00,2.504379e-01,5.635689e-01,3.142057e-01,1.000000e+00,1.000000e+00,0.000000e+00,4.017587e-01,9.145825e-01
1.000000e+00,2.900000e+01,6.689422e-01,1.000000e+00,1.000000e+00,1.000000e+00,5.350621e-01,4.276912e-01,5.417300e-01,1.000000e+00,0.000000e+00,0.000000e+00,4.184124e-01,1.000000e+00,0.000000e+00,6.853847e-01,1.000000e+00,7.414855e-01,2.334921e-02,0.000000e+00,1.633794e-01,5.112709e-01,1.100848e-01,1.000000e+00,1.000000e+00,1.415321e-01,4.765108e-01,9.192501e-01
1.000000e+00,3.000000e+00,0.000000e+00,3.719774e-01,0.000000e+00,5.722980e-01,6.403073e-01,0.000000e+00,5.767450e-01,3.133165e-01,1.000000e+00,1.000000e+00,4.624087e-01,0.000000e+00,1.000000e+00,1.000000e+00,4.428354e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.415539e-02,1.254373e-01,1.000000e+00,4.245022e-01,2.853977e-01
1.000000e+00,3.000000e+01,6.271154e-01,1.000000e+00,1.000000e+00,1.000000e+00,5.691566e-01,4.698203e-01,5.025729e-01,1.000000e+00,0.000000e+00,0.000000e+00,4.174116e-01,1.000000e+00,0.000000e+00,6.853257e-01,7.398710e-01,6.827706e-01,9.319982e-02,0.000000e+00,1.303700e-01,4.508966e-01,0.000000e+00,7.237939e-01,1.000000e+00,3.380301e-01,5.579615e-01,8.742522e-01
1.000000e+00,3.100000e+01,6.273588e-01,1.000000e+00,1.000000e+00,1.000000e+00,6.113876e-01,5.082022e-01,4.492898e-01,1.000000e+00,0.000000e+00,0.000000e+00,3.881498e-01,2.516252e-01,0.000000e+00,6.731210e-01,1.223254e-01,6.252239e-01,1.763267e-01,2.098733e-01,1.521616e-01,4.069575e-01,0.000000e+00,5.602024e-01,1.000000e+00,5.178779e-01,6.383246e-01,8.508016e-01
1.000000e+00,3.200000e+01,7.024016e-01,1.000000e+00,1.000000e+00,1.000000e+00,6.611123e-01,5.427956e-01,3.852025e-01,9.864818e-01,0.000000e+00,0.000000e+00,4.745974e-01,3.095930e-01,0.000000e+00,6.376494e-01,0.000000e+00,5.694283e-01,2.656678e-01,4.100106e-01,2.246373e-01,4.010614e-01,0.000000e+00,6.456675e-01,1.000000e+00,6.560475e-01,7.096746e-01,8.709375e-01
1.000000e+00,3.300000e+01,7.737641e-01,1.000000e+00,1.000000e+00,1.000000e+00,7.172859e-01,5.737025e-01,3.139269e-01,8.230753e-01,0.000000e+00,0.000000e+00,6.050781e-01,3.566963e-01,0.000000e+00,5.742034e-01,0.000000e+00,5.157386e-01,3.541190e-01,5.235491e-01,3.398531e-01,4.379171e-01,0.000000e+00,7.618232e-01,1.000000e+00,7.319665e-01,7.647637e-01,8.247209e-01
1.000000e+00,3.400000e+01,8.650622e-01,1.000000e+00,1.000000e+00,1.000000e+00,7.784246e-01,6.011689e-01,2.392529e-01,6.549838e-01,0.000000e+00,0.000000e+00,7.116738e-01,4.101143e-01,0.000000e+00,4.873453e-01,0.000000e+00,4.642493e-01,4.352393e-01,5.650382e-01,4.870801e-01,4.782199e-01,0.000000e+00,9.048205e-01,1.000000e+00,7.324986e-01,7.978382e-01,7.653936e-01
1.000000e+00,3.500000e+01,9.786465e-01,1.000000e+00,7.653356e-01,1.000000e+00,8.425676e-01,6.255859e-01,1.650245e-01,4.885138e-01,0.000000e+00,3.884519e-02,7.929276e-01,4.673459e-01,0.000000e+00,3.873303e-01,0.000000e+00,4.147625e-01,5.039564e-01,5.468017e-01,6.538459e-01,5.044642e-01,0.000000e+00,1.000000e+00,1.000000e+00,6.549239e-01,8.054553e-01,6.803513e-01
1.000000e+00,3.600000e+01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,9.072787e-01,6.430709e-01,9.501926e-02,3.298204e-01,0.000000e+00,1.204791e-01,8.495363e-01,5.256411e-01,0.000000e+00,2.861631e-01,0.000000e+00,3.667564e-01,5.572721e-01,4.852128e-01,8.269767e-01,5.110581e-01,0.000000e+00,1.000000e+00,1.000000e+00,5.099190e-01,7.873002e-01,5.653553e-01
1.000000e+00,3.700000e+01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,9.576472e-01,6.478308e-01,3.282843e-02,1.847045e-01,1.548129e-01,1.142270e-01,8.838637e-01,5.821391e-01,0.000000e+00,1.936546e-01,0.000000e+00,3.190423e-01,5.963652e-01,3.936837e-01,9.936389e-01,4.934444e-01,0.000000e+00,1.000000e+00,1.000000e+00,3.259932e-01,7.470019e-01,4.267281e-01
1.000000e+00,3.800000e+01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,9.770241e-01,6.398667e-01,0.000000e+00,5.841109e-02,3.134613e-01,1.127540e-01,8.995532e-01,6.340058e-01,0.000000e+00,1.134784e-01,0.000000e+00,2.666866e-01,6.140892e-01,2.869829e-01,1.000000e+00,4.496525e-01,0.000000e+00,1.000000e+00,1.000000e+00,1.800827e-01,6.831127e-01,2.407566e-01
1.000000e+00,3.900000e+01,1.000000e+00,1.000000e+00,1.000000e+00,1.000000e+00,9.623767e-01,6.180931e-01,0.000000e+00,0.000000e+00,4.632302e-01,1.120559e-01,9.011412e-01,6.785713e-01,0.000000e+00,4.593918e-02,0.000000e+00,2.158848e-01,6.193473e-01,1.822201e-01,1.000000e+00,3.799929e-01,0.000000e+00,1.000000e+00,1.000000e+00,4.585752e-02,5.897680e-01,0.000000e+00
1.000000e+00,4.000000e+00,0.000000e+00,5.782181e-01,0.000000e+00,5.928790e-01,6.092251e-01,0.000000e+00,5.539713e-01,3.598558e-01,1.000000e+00,1.000000e+00,5.614979e-01,0.000000e+00,1.000000e+00,1.000000e+00,4.931750e-01,9.839890e-03,0.000000e+00,1.228894e-02,0.000000e+00,0.000000e+00,1.000000e+00,3.688014e-02,3.293044e-01,1.000000e+00,5.255592e-01,3.420560e-01
