HSIbyAuth,Dan_Cohan,Sally_Gall,Goodwin_MX,Goodwin_AZ,Roy_Tomlinson,Dave_Ellis,Literature_AZ,Literature_MX
5.516194e-01,3.863815e-02,4.834053e-02,1.399574e-01,         NaN,6.295648e-02,3.296032e-01,1.950496e-01,1.374612e-01
5.561693e-01,6.325185e-02,7.627763e-02,1.406073e-01,         NaN,5.075279e-02,3.261491e-01,2.600172e-01,2.024137e-01
5.577320e-01,8.975743e-02,1.086057e-01,1.425709e-01,         NaN,4.236935e-02,3.198413e-01,3.069497e-01,2.493305e-01
5.571286e-01,1.087720e-01,1.316682e-01,1.473351e-01,         NaN,3.896259e-02,3.088810e-01,3.422069e-01,2.845717e-01
5.550556e-01,1.227535e-01,1.469453e-01,1.567129e-01,         NaN,4.502907e-02,2.914971e-01,3.763904e-01,3.187391e-01
6.947399e-01,1.322223e-01,1.545037e-01,2.397740e-01,         NaN,6.558761e-02,2.671881e-01,2.874733e-01,2.295361e-01
6.790512e-01,1.366087e-01,1.535582e-01,2.805007e-01,         NaN,1.024915e-01,2.381394e-01,3.122421e-01,2.540943e-01
6.678021e-01,1.343927e-01,1.463238e-01,3.266416e-01,         NaN,1.363330e-01,2.096646e-01,3.229310e-01,2.647135e-01
6.170382e-01,1.223722e-01,1.319543e-01,3.711686e-01,         NaN,1.242597e-01,1.886630e-01,3.212410e-01,2.630688e-01
5.841903e-01,7.143148e-02,7.649466e-02,4.076664e-01,         NaN,6.221871e-02,1.803901e-01,2.969725e-01,2.389212e-01
5.759455e-01,2.562196e-02,2.562230e-02,4.318780e-01,         NaN,1.393877e-02,1.861851e-01,2.692926e-01,2.114067e-01
5.227492e-01,2.129545e-02,2.129545e-02,3.012016e-01,         NaN,5.063137e-03,2.016647e-01,3.263995e-01,2.686777e-01
3.773854e-01,1.528102e-02,1.528102e-02,2.688779e-01,         NaN,5.041364e-03,2.214026e-01,3.121650e-01,2.544446e-01
3.770921e-01,1.074159e-02,1.074159e-02,2.569508e-01,         NaN,5.048390e-03,2.413165e-01,3.098081e-01,2.520929e-01
3.914952e-01,6.696162e-03,6.696162e-03,2.365556e-01,         NaN,5.062966e-03,2.593253e-01,3.090848e-01,2.513785e-01
4.037096e-01,5.088163e-03,5.088163e-03,2.093068e-01,         NaN,5.079756e-03,2.748054e-01,3.384682e-01,2.807744e-01
4.084017e-01,5.865569e-03,5.865569e-03,1.792908e-01,         NaN,4.702968e-03,2.878560e-01,3.649252e-01,3.072473e-01
4.136561e-01,4.593744e-02,6.148163e-02,1.522191e-01,         NaN,4.210251e-03,2.991707e-01,3.655611e-01,3.079018e-01
4.189822e-01,2.347457e-02,2.347457e-02,1.322482e-01,         NaN,3.738011e-03,3.092718e-01,3.477299e-01,2.900912e-01
4.237145e-01,4.214221e-02,4.214221e-02,1.193136e-01,         NaN,3.153325e-03,3.186387e-01,3.192167e-01,2.615993e-01
4.258087e-01,6.043618e-02,6.043618e-02,1.110646e-01,         NaN,2.601043e-03,3.281086e-01,3.029874e-01,2.453816e-01
4.245324e-01,6.822425e-02,6.822425e-02,1.054290e-01,         NaN,2.204950e-03,3.354206e-01,3.130530e-01,2.554399e-01
4.231353e-01,6.086088e-02,6.086088e-02,1.049287e-01,         NaN,1.774674e-03,3.381790e-01,3.230962e-01,2.654759e-01
4.253726e-01,4.299044e-02,4.299044e-02,1.031659e-01,         NaN,1.521987e-03,3.367783e-01,3.064122e-01,2.488038e-01
5.707898e-01,4.744597e-02,4.234099e-02,1.252786e-01,         NaN,1.755568e-03,3.344466e-01,2.827464e-01,2.251567e-01
5.715765e-01,3.180090e-02,3.026351e-02,1.019461e-01,         NaN,2.756447e-03,3.334307e-01,2.703614e-01,2.127832e-01
5.207354e-01,2.668922e-02,2.873949e-02,1.066943e-01,         NaN,4.612714e-03,3.333148e-01,2.535083e-01,1.959323e-01
5.545062e-01,2.419925e-02,2.753316e-02,1.140652e-01,         NaN,7.122568e-03,3.333271e-01,1.985544e-01,1.409721e-01
5.702333e-01,2.442686e-02,2.791386e-02,1.215995e-01,         NaN,9.874274e-03,3.333259e-01,1.528969e-01,9.530216e-02
5.679827e-01,2.996214e-02,3.296287e-02,1.263541e-01,         NaN,1.232957e-02,3.333259e-01,1.518879e-01,9.427801e-02
5.651733e-01,3.477243e-02,3.548146e-02,1.300906e-01,         NaN,1.399211e-02,3.333259e-01,1.682695e-01,1.106453e-01
5.626877e-01,3.547725e-02,3.306466e-02,1.399061e-01,         NaN,1.477713e-02,3.333278e-01,1.861273e-01,1.284921e-01
5.610319e-01,3.407657e-02,3.002361e-02,1.482500e-01,         NaN,1.503168e-02,3.333661e-01,2.093049e-01,1.516628e-01
5.605300e-01,7.794415e-02,6.784858e-02,1.505349e-01,         NaN,1.509484e-02,3.337424e-01,2.476508e-01,1.900067e-01
5.612108e-01,8.569348e-02,8.037680e-02,1.495930e-01,         NaN,1.511086e-02,3.357359e-01,2.942280e-01,2.365867e-01
5.629719e-01,1.103626e-01,1.123016e-01,1.464917e-01,         NaN,1.511793e-02,3.418620e-01,3.228016e-01,2.651676e-01
5.649440e-01,1.395440e-01,1.431700e-01,1.437667e-01,         NaN,1.512402e-02,3.538763e-01,3.268127e-01,2.691874e-01
5.662479e-01,1.369642e-01,1.413032e-01,1.424262e-01,         NaN,1.513117e-02,3.704494e-01,3.227415e-01,2.651224e-01
5.664916e-01,1.156997e-01,1.202113e-01,1.422378e-01,         NaN,1.513604e-02,3.877687e-01,3.236001e-01,2.659823e-01
5.659368e-01,1.048071e-01,1.095225e-01,1.427864e-01,         NaN,1.512563e-02,4.018748e-01,3.310381e-01,2.734175e-01
5.652170e-01,1.033233e-01,1.087914e-01,1.435767e-01,1.985286e-01,1.508442e-02,4.101008e-01,3.409976e-01,2.833735e-01
5.644415e-01,1.011792e-01,1.082133e-01,1.445529e-01,2.416624e-01,1.498726e-02,4.112727e-01,3.516765e-01,2.940489e-01
5.636404e-01,1.205780e-01,1.007647e-01,1.475441e-01,2.501914e-01,1.491800e-02,4.055302e-01,3.601399e-01,3.025087e-01
5.628530e-01,9.945368e-02,8.239649e-02,1.731872e-01,2.495134e-01,1.491071e-02,3.942307e-01,3.666788e-01,3.090443e-01
5.621242e-01,1.056639e-01,8.780680e-02,2.263319e-01,2.468825e-01,1.658221e-02,3.798086e-01,4.462155e-01,3.885779e-01
5.615003e-01,1.124331e-01,9.462562e-02,2.691631e-01,2.457190e-01,2.847404e-02,3.652564e-01,5.285148e-01,4.708746e-01
5.610246e-01,1.189246e-01,9.880720e-02,2.876701e-01,2.439361e-01,4.145893e-02,3.531599e-01,5.260124e-01,4.683703e-01
5.607327e-01,1.206806e-01,9.842725e-02,2.854665e-01,2.383208e-01,4.017843e-02,3.447607e-01,5.238656e-01,4.662223e-01
5.606474e-01,1.174110e-01,1.047098e-01,2.668140e-01,2.297488e-01,2.905306e-02,3.397702e-01,5.198092e-01,4.621655e-01
5.607752e-01,1.132439e-01,1.104484e-01,2.373847e-01,2.207558e-01,1.987069e-02,3.370685e-01,4.610840e-01,4.034409e-01
5.611024e-01,1.067645e-01,1.128311e-01,2.102235e-01,2.301208e-01,1.611456e-02,3.355905e-01,3.891666e-01,3.315248e-01
5.615930e-01,5.513699e-02,1.258514e-02,2.457670e-01,2.701118e-01,1.539237e-02,3.347122e-01,3.572087e-01,2.995689e-01
5.460288e-01,4.847983e-02,1.850316e-02,2.343811e-01,2.096827e-01,1.561352e-02,3.341592e-01,3.480895e-01,2.904522e-01
6.002434e-01,4.127334e-02,2.593706e-02,2.121209e-01,1.503697e-01,1.607796e-02,3.338115e-01,3.192786e-01,3.008921e-01
5.528422e-01,2.085302e-02,2.097793e-02,1.849683e-01,1.498212e-01,1.653800e-02,3.335993e-01,3.611187e-01,3.034274e-01
5.658430e-01,2.727688e-02,2.786753e-02,1.916034e-01,1.786921e-01,1.663717e-02,3.248477e-01,3.139259e-01,2.561976e-01
5.858685e-01,2.811387e-02,2.967554e-02,1.873456e-01,2.205249e-01,1.597901e-02,2.753805e-03,2.718662e-01,2.141080e-01
5.224499e-01,3.571381e-02,2.914166e-02,1.847080e-01,2.614163e-01,1.440034e-02,2.305746e-05,2.427759e-01,1.849948e-01
5.350990e-01,4.441513e-02,3.042339e-02,1.829063e-01,2.975697e-01,1.208317e-02,6.918294e-06,2.157496e-01,1.579527e-01
5.499808e-01,5.175224e-02,3.435931e-02,1.815685e-01,3.261076e-01,9.451191e-03,1.779726e-06,1.857174e-01,1.279111e-01
5.640341e-01,9.550477e-02,1.198633e-01,1.807447e-01,3.341264e-01,7.025769e-03,4.877960e-07,1.546248e-01,9.681445e-02
5.668795e-01,1.776863e-01,4.818022e-02,1.807265e-01,3.313232e-01,5.306924e-03,4.429045e-07,1.269829e-01,6.917176e-02
5.531269e-01,2.690424e-01,7.785280e-02,1.818200e-01,3.136098e-01,4.457457e-03,4.488342e-07,1.064695e-01,4.865909e-02
5.291442e-01,2.796978e-01,9.811070e-02,1.694168e-01,2.606355e-01,4.181161e-03,2.210331e-07,9.430830e-02,3.649898e-02
5.125984e-01,2.876001e-01,9.271286e-02,1.485710e-01,1.866730e-01,4.154763e-03,8.501083e-08,8.898479e-02,3.117600e-02
5.024277e-01,2.879240e-01,9.145834e-02,1.376447e-01,1.251551e-01,4.280604e-03,3.208911e-08,8.751549e-02,2.970618e-02
