HSIbyAuth,Dan_Cohan,Sally_Gall,Goodwin_MX,Goodwin_AZ,Roy_Tomlinson,Dave_Ellis,Literature_AZ,Literature_MX
3.204520e-01,3.231396e-02,3.408934e-02,1.625611e-01,2.354695e-01,2.574903e-02,2.250390e-01,9.868937e-02,4.064790e-02
3.269134e-01,8.380878e-02,7.048378e-02,1.755265e-01,2.607219e-01,2.589095e-02,2.519604e-01,1.414006e-01,8.338683e-02
4.763588e-01,1.655471e-01,1.405595e-01,1.820222e-01,4.468401e-01,2.596907e-02,2.696518e-01,2.621797e-01,2.041475e-01
5.087311e-01,1.975678e-01,1.795059e-01,2.102614e-01,5.000686e-01,2.601409e-02,2.808477e-01,3.682227e-01,3.101662e-01
4.182745e-01,1.724221e-01,1.637943e-01,2.144398e-01,4.115530e-01,2.604571e-02,2.876405e-01,3.798038e-01,3.217296e-01
4.133994e-01,1.561110e-01,1.560786e-01,2.912868e-01,2.992761e-01,2.606675e-02,2.914308e-01,3.424236e-01,2.843392e-01
3.281558e-01,1.193262e-01,1.193073e-01,4.182538e-01,2.238454e-01,2.607731e-02,3.095702e-01,3.469475e-01,2.888600e-01
3.611953e-01,8.960096e-02,8.960096e-02,5.147854e-01,2.236398e-01,2.608419e-02,3.072758e-01,3.556473e-01,2.975563e-01
3.832253e-01,7.891780e-02,7.891780e-02,5.368620e-01,2.236152e-01,2.610225e-02,3.072302e-01,3.607320e-01,3.026303e-01
3.802488e-01,8.794934e-02,8.794934e-02,5.368620e-01,2.236109e-01,2.614826e-02,3.069163e-01,3.633999e-01,3.052807e-01
3.787030e-01,1.112512e-01,1.112512e-01,5.368620e-01,2.236106e-01,2.621212e-02,2.989613e-01,3.645104e-01,3.063725e-01
3.788305e-01,1.450504e-01,1.450504e-01,5.368620e-01,2.236128e-01,2.627249e-02,2.998238e-01,3.647050e-01,3.065548e-01
3.811753e-01,1.568653e-01,1.491498e-01,5.329847e-01,2.236218e-01,2.631467e-02,2.888366e-01,3.632483e-01,3.050996e-01
3.860496e-01,1.260213e-01,1.204573e-01,4.964057e-01,2.236583e-01,2.635181e-02,2.747639e-01,3.566247e-01,2.984955e-01
3.928932e-01,9.127902e-02,8.893599e-02,4.246087e-01,2.238187e-01,2.640425e-02,2.575833e-01,3.375265e-01,2.794335e-01
4.970284e-01,5.963791e-02,5.989551e-02,3.458081e-01,2.257554e-01,2.648362e-02,2.371736e-01,2.969477e-01,2.388988e-01
4.981459e-01,3.711541e-02,3.867246e-02,2.767429e-01,3.098139e-01,2.226244e-02,2.136229e-01,2.434086e-01,1.854042e-01
4.940335e-01,8.586072e-02,8.659862e-02,2.345026e-01,4.250834e-01,1.693004e-02,1.873264e-01,2.143048e-01,1.563438e-01
4.899417e-01,1.009347e-01,1.273099e-01,2.221806e-01,4.917177e-01,1.129187e-02,1.624910e-01,1.955380e-01,1.376185e-01
4.847451e-01,9.787828e-02,1.332708e-01,1.717080e-01,3.509389e-01,9.158288e-03,1.450991e-01,1.799310e-01,1.220506e-01
4.795692e-01,1.075995e-01,1.201007e-01,1.333945e-01,2.756520e-01,9.339368e-03,1.380667e-01,1.725275e-01,1.146840e-01
4.927391e-01,1.227255e-01,1.418768e-01,1.188011e-01,2.610885e-01,1.023455e-02,1.415726e-01,1.727757e-01,1.149670e-01
5.176708e-01,1.262753e-01,1.561463e-01,1.267197e-01,2.893209e-01,1.209532e-02,1.539846e-01,1.651087e-01,1.073395e-01
5.212495e-01,1.530629e-01,1.833722e-01,1.517675e-01,3.429278e-01,1.498872e-02,1.722643e-01,1.503670e-01,9.262105e-02
5.279556e-01,1.695218e-01,2.086352e-01,1.875790e-01,4.110705e-01,1.837646e-02,1.924472e-01,1.921553e-01,1.344215e-01
5.361504e-01,1.115219e-01,1.568701e-01,2.318686e-01,4.495908e-01,2.119209e-02,2.107121e-01,2.929166e-01,2.351785e-01
5.414220e-01,1.466190e-01,2.049564e-01,2.837020e-01,4.872061e-01,2.420884e-02,2.243987e-01,2.846757e-01,2.269208e-01
6.383452e-01,1.718668e-01,2.286762e-01,3.641232e-01,5.413140e-01,2.803720e-02,2.321256e-01,2.677920e-01,2.100167e-01
6.490672e-01,1.930063e-01,2.469344e-01,4.972563e-01,7.212223e-01,3.300424e-02,2.331860e-01,2.668133e-01,2.090238e-01
6.451741e-01,2.333441e-01,3.256614e-01,5.050623e-01,7.976181e-01,4.157525e-02,2.271596e-01,2.923654e-01,2.345768e-01
6.411809e-01,2.436016e-01,3.181234e-01,4.748377e-01,6.932631e-01,5.457658e-02,2.145351e-01,3.528232e-01,2.950544e-01
6.402877e-01,2.303309e-01,2.545812e-01,4.453339e-01,6.421825e-01,6.548246e-02,1.981518e-01,4.364874e-01,3.787541e-01
6.401857e-01,2.309250e-01,2.053704e-01,4.158787e-01,5.762352e-01,6.912589e-02,1.714996e-01,5.061163e-01,4.484193e-01
6.406436e-01,2.667010e-01,1.791274e-01,4.160623e-01,5.313765e-01,6.754787e-02,1.090885e-01,5.232701e-01,4.655832e-01
6.411695e-01,3.163187e-01,1.751682e-01,4.619934e-01,5.368433e-01,6.398809e-02,4.300939e-02,4.890133e-01,4.312911e-01
6.195852e-01,3.509760e-01,1.811548e-01,5.341106e-01,4.808875e-01,5.616869e-02,1.373509e-02,4.309526e-01,3.731468e-01
6.027458e-01,3.853068e-01,1.829554e-01,5.312978e-01,4.008786e-01,4.497749e-02,6.136360e-03,4.721279e-01,4.141991e-01
5.792584e-01,3.884303e-01,1.758721e-01,5.038272e-01,3.297572e-01,3.858725e-02,3.339033e-03,5.128631e-01,4.547896e-01
5.488468e-01,3.385100e-01,1.179231e-01,4.113062e-01,2.381791e-01,3.943216e-02,2.075448e-03,4.705404e-01,4.123225e-01
4.964536e-01,2.882625e-01,7.472652e-02,3.388799e-01,1.931986e-01,4.262883e-02,1.360444e-03,4.075388e-01,3.491997e-01
4.759389e-01,2.570832e-01,4.924995e-02,3.188824e-01,1.790490e-01,4.485986e-02,9.632870e-04,3.701472e-01,3.117302e-01
4.855967e-01,2.361363e-01,3.742357e-02,3.319220e-01,1.857159e-01,4.599351e-02,7.620744e-04,3.437810e-01,2.853447e-01
4.951642e-01,2.091686e-01,3.522642e-02,3.452275e-01,1.998690e-01,4.678766e-02,6.853025e-04,3.315241e-01,2.731374e-01
5.460849e-01,1.809074e-01,4.008736e-02,3.810329e-01,2.282598e-01,4.717490e-02,6.989085e-04,3.611138e-01,3.028504e-01
5.709188e-01,1.512121e-01,5.140202e-02,4.574478e-01,3.210491e-01,4.738958e-02,7.938026e-04,3.551336e-01,2.970638e-01
5.872378e-01,1.170968e-01,5.976881e-02,3.697128e-01,4.736991e-01,4.762743e-02,9.765238e-04,1.706443e-01,1.128176e-01
5.506134e-01,8.074719e-02,5.862926e-02,1.861351e-01,3.059468e-01,4.789522e-02,1.261961e-03,2.255758e-01,1.679663e-01
4.570867e-01,5.978000e-02,5.205261e-02,1.237053e-01,3.135653e-01,4.811098e-02,1.666345e-03,1.609974e-01,1.034614e-01
4.937345e-01,4.823286e-02,5.145075e-02,1.245916e-01,3.597116e-01,4.821120e-02,2.201005e-03,1.142014e-01,5.665400e-02
5.218602e-01,3.936738e-02,4.795747e-02,1.295851e-01,3.971317e-01,4.812151e-02,2.896373e-03,9.895858e-02,4.140176e-02
5.868117e-01,3.920037e-02,6.537541e-02,1.497355e-01,4.291918e-01,4.778927e-02,3.945898e-03,1.495041e-01,9.189681e-02
6.145360e-01,8.559145e-02,1.259735e-01,1.755592e-01,5.646736e-01,4.785373e-02,5.430667e-03,1.672856e-01,1.095515e-01
6.169257e-01,1.626736e-01,1.822229e-01,1.755675e-01,6.960492e-01,5.173193e-02,7.960930e-03,1.484769e-01,9.062333e-02
