x,y,BG,FC,FD,FH,GC,GD,GHc,SC,SD,SH,TC,GR,NC,GCp,GCa,GDp,GDa,FHs,FHf,TCa,FCs,GCv,GCb,HSC,StrD,TotalC
1.000000e+00,1.000000e+00,1.000000e+00,0.000000e+00,1.000000e+00,2.000000e+02,0.000000e+00,4.000000e+01,3.000000e+00,0.000000e+00,1.000000e+00,5.663928e+00,3.857192e-02,0.000000e+00,0.000000e+00,1.000000e+00,7.154227e-01,1.000000e+00,1.000000e+00,0.000000e+00,3.000000e+01,0.000000e+00,1.000000e+00,2.500000e+01,0.000000e+00,1.072258e-01,1.000000e+00,0.000000e+00
1.000000e+00,1.000000e+01,1.000000e+00,0.000000e+00,1.614894e+01,1.852927e+02,0.000000e+00,6.811368e+00,1.000000e-01,1.032240e-01,1.000000e+00,3.404096e+00,4.224524e-02,0.000000e+00,0.000000e+00,1.000000e+00,8.869817e-01,1.000000e+00,6.528882e+00,1.072063e+01,3.000000e+01,3.391117e-01,0.000000e+00,5.945037e+00,0.000000e+00,5.733755e-02,2.000000e+00,4.522797e-01
1.000000e+00,1.000000e+02,2.681287e-02,0.000000e+00,1.000000e+00,2.000000e+02,4.026420e-01,1.000000e+00,1.000000e-01,2.018678e-01,1.000000e+00,3.897458e+00,1.765030e-01,2.423468e+01,1.300000e+03,1.000000e+00,3.001935e-01,5.958664e+00,4.130032e+00,6.697186e+00,5.076786e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,2.771552e-02,3.000000e+00,3.072178e-01
1.000000e+00,1.100000e+01,1.000000e+00,0.000000e+00,1.641460e+01,1.612728e+02,0.000000e+00,4.748307e+00,1.000000e-01,2.170103e-01,1.000000e+00,3.541418e+00,4.237654e-02,0.000000e+00,0.000000e+00,1.000000e+00,5.204235e-01,1.000000e+00,6.893036e+00,1.476868e+01,3.000000e+01,1.722526e-01,0.000000e+00,8.707219e+00,0.000000e+00,5.212531e-02,2.000000e+00,7.936321e-01
1.000000e+00,1.200000e+01,1.000000e+00,0.000000e+00,1.566068e+01,1.391677e+02,0.000000e+00,3.122547e+00,1.000000e-01,3.087439e-01,1.783964e+00,3.685103e+00,4.208413e-02,1.841687e+00,0.000000e+00,1.000000e+00,1.363255e-01,1.298778e+00,7.337402e+00,1.689144e+01,3.000000e+01,0.000000e+00,0.000000e+00,1.133157e+01,0.000000e+00,4.851099e-02,2.000000e+00,1.079900e+00
1.000000e+00,1.300000e+01,1.000000e+00,0.000000e+00,1.425333e+01,1.199134e+02,0.000000e+00,1.962868e+00,1.000000e-01,3.711947e-01,2.605468e+00,3.796739e+00,4.135417e-02,4.741955e+00,1.785426e+02,1.000000e+00,0.000000e+00,1.877423e+00,8.166818e+00,1.533217e+01,3.000000e+01,0.000000e+00,0.000000e+00,1.356420e+01,0.000000e+00,4.577093e-02,2.000000e+00,1.295500e+00
1.000000e+00,1.400000e+01,1.000000e+00,0.000000e+00,1.260324e+01,1.043802e+02,0.000000e+00,1.306291e+00,3.291239e-01,4.042981e-01,3.329227e+00,3.799099e+00,4.016507e-02,6.850878e+00,5.825919e+02,1.000000e+00,0.000000e+00,1.866726e+00,8.906468e+00,1.286676e+01,3.000000e+01,0.000000e+00,0.000000e+00,1.517389e+01,0.000000e+00,4.316226e-02,2.000000e+00,1.430009e+00
1.000000e+00,1.500000e+01,1.000000e+00,0.000000e+00,1.111259e+01,9.355340e+01,0.000000e+00,1.192190e+00,2.096492e+00,4.102642e-01,3.921289e+00,3.754609e+00,3.849506e-02,8.516198e+00,9.256702e+02,8.490367e-01,0.000000e+00,1.383370e+00,9.367195e+00,9.600001e+00,3.000000e+01,0.000000e+00,0.000000e+00,1.581594e+01,0.000000e+00,4.031190e-02,2.000000e+00,1.470682e+00
1.000000e+00,1.600000e+01,1.000000e+00,0.000000e+00,1.012210e+01,8.595910e+01,0.000000e+00,1.656394e+00,2.892798e+00,3.927650e-01,4.433259e+00,3.719707e+00,3.632220e-02,1.046043e+01,1.147819e+03,6.880197e-01,0.000000e+00,1.000000e+00,9.408543e+00,6.685370e+00,3.000000e+01,0.000000e+00,0.000000e+00,1.534348e+01,0.000000e+00,3.627028e-02,2.000000e+00,1.417319e+00
1.000000e+00,1.700000e+01,1.000000e+00,0.000000e+00,9.857929e+00,6.970466e+01,0.000000e+00,2.725301e+00,2.661005e+00,3.563881e-01,4.893785e+00,3.674012e+00,3.362453e-02,1.243002e+01,1.242982e+03,5.482326e-01,0.000000e+00,1.088717e+00,8.944547e+00,4.518236e+00,3.000000e+01,0.000000e+00,0.000000e+00,1.378621e+01,0.000000e+00,3.047769e-02,2.000000e+00,1.279745e+00
